72,color,"{""en"": ""MELANGE PURPLE"", ""ko:"": ""멜란지 퍼플""}"
73,color,"{""en"": ""D/PURPLE"", ""ko:"": ""다크 퍼플""}"
74,color,"{""en"": ""L/VIOLET"", ""ko:"": ""라이트 바이올렛""}"
75,color,"{""en"": ""VIOLET"", ""ko:"": ""바이올렛""}"
76,color,"{""en"": ""MELANGE VIOLET"", ""ko:"": ""멜란지 바이올렛 ""}"
77,color,"{""en"": ""D/VIOLET"", ""ko:"": ""다크 바이올렛""}"
78,color,"{""en"": ""GREY PURPLE"", ""ko:"": ""그레이 퍼플""}"
79,color,"{""en"": ""RAW"", ""ko:"": ""로""}"
80,color,"{""en"": ""OATMEAL"", ""ko:"": ""오트밀""}"
81,color,"{""en"": ""SAND"", ""ko:"": ""샌드""}"
82,color,"{""en"": ""L/BEIGE"", ""ko:"": ""라이트 베이지""}"
83,color,"{""en"": ""BEIGE"", ""ko:"": ""베이지""}"
84,color,"{""en"": ""MELANGE BEIGE"", ""ko:"": ""멜란지 베이지""}"
85,color,"{""en"": ""D/BEIGE"", ""ko:"": ""다크 베이지""}"
86,color,"{""en"": ""YELLOW BEIGE"", ""ko:"": ""옐로우 베이지""}"
87,color,"{""en"": ""CAMEL"", ""ko:"": ""카멜""}"
88,color,"{""en"": ""KHAKI BEIGE"", ""ko:"": ""카키 베이지""}"
89,color,"{""en"": ""YELLOW GREEN"", ""ko:"": ""옐로우 그린""}"
90,color,"{""en"": ""VINTAGE"", ""ko:"": ""빈티지""}"
91,color,"{""en"": ""ICE"", ""ko:"": ""아이스""}"
92,color,"{""en"": ""L/INDIGO"", ""ko:"": ""라이트 인디고""}"
93,color,"{""en"": ""INDIGO"", ""ko:"": ""인디고""}"
94,color,"{""en"": ""D/INDIGO"", ""ko:"": ""다크 인디고""}"
95,color,"{""en"": ""GOLD"", ""ko:"": ""골드""}"
96,color,"{""en"": ""SILVER"", ""ko:"": ""실버""}"
97,color,"{""en"": ""JET BLACK"", ""ko:"": ""제트 블랙""}"
98,color,"{""en"": ""BLUE BLACK"", ""ko:"": ""블루 블랙""}"
99,color,"{""en"": ""WHOLE COLOR"", ""ko:"": ""전체칼라""}"
AA ,item,"{""en"": ""ACCESSORY GLASSES"", ""ko:"": ""ACCESSORY GLASSES""}"
AB ,item,"{""en"": ""ACCESSORY BAG"", ""ko:"": ""ACCESSORY BAG""}"
AC ,item,"{""en"": ""ACCESSORY 기타"", ""ko:"": ""ACCESSORY 기타""}"
AG ,item,"{""en"": ""ACCESSORY GLOVES"", ""ko:"": ""ACCESSORY GLOVES""}"
AH ,item,"{""en"": ""ACCESSORY HOOD"", ""ko:"": ""ACCESSORY HOOD""}"
AI ,item,"{""en"": ""INNERWEAR"", ""ko:"": ""INNERWEAR""}"
AJ ,item,"{""en"": ""주얼리"", ""ko:"": ""주얼리""}"
AM ,item,"{""en"": ""ACCESSORY MUFFLER"", ""ko:"": ""ACCESSORY MUFFLER""}"
AO ,item,"{""en"": ""ACCESSORY SOCKS"", ""ko:"": ""ACCESSORY SOCKS""}"
AP ,item,"{""en"": ""ACCESSORY CAP"", ""ko:"": ""ACCESSORY CAP""}"
AS ,item,"{""en"": ""ACCESSORY SHOES"", ""ko:"": ""ACCESSORY SHOES""}"
AT ,item,"{""en"": ""ACCESSORY BELT"", ""ko:"": ""ACCESSORY BELT""}"
AU ,item,"{""en"": ""코드명"", ""ko:"": ""코드명""}"
AW ,item,"{""en"": ""ACCESSORY UMBRELLA"", ""ko:"": ""ACCESSORY UMBRELLA""}"
AX ,item,"{""en"": ""ACCESSORY WALLET"", ""ko:"": ""ACCESSORY WALLET""}"
CT ,item,"{""en"": ""ACCESSORY BELT"", ""ko:"": ""ACCESSORY BELT""}"
CU ,item,"{""en"": ""WOVEN COAT"", ""ko:"": ""WOVEN COAT""}"
DC ,item,"{""en"": ""CULOTTES – LPGA 추가"", ""ko:"": ""CULOTTES – LPGA 추가""}"
DJ ,item,"{""en"": ""DENIM COAT"", ""ko:"": ""DENIM COAT""}"
DK ,item,"{""en"": ""DENIM JACKET"", ""ko:"": ""DENIM JACKET""}"
DO ,item,"{""en"": ""DENIM SKIRT"", ""ko:"": ""DENIM SKIRT""}"
DP ,item,"{""en"": ""DENIM OVER ALL"", ""ko:"": ""DENIM OVER ALL""}"
DS ,item,"{""en"": ""DENIM PANTS"", ""ko:"": ""DENIM PANTS""}"
DV ,item,"{""en"": ""DENIM SHIRT"", ""ko:"": ""DENIM SHIRT""}"
DW ,item,"{""en"": ""DENIM VEST"", ""ko:"": ""DENIM VEST""}"
FA ,item,"{""en"": ""WOVEN DOWN"", ""ko:"": ""WOVEN DOWN""}"
FB ,item,"{""en"": ""원단"", ""ko:"": ""원단 ""}"
JB ,item,"{""en"": ""부자재"", ""ko:"": ""부자재""}"
JK ,item,"{""en"": ""WOVEN JUMPER(버커루용)"", ""ko:"": ""WOVEN JUMPER(버커루용)""}"
JM ,item,"{""en"": ""WOVEN JACKET"", ""ko:"": ""WOVEN JACKET""}"
JP ,item,"{""en"": ""인조무스탕"", ""ko:"": ""인조무스탕""}"
KC ,item,"{""en"": ""KNIT CARDIGAN"", ""ko:"": ""KNIT CARDIGAN""}"
KT ,item,"{""en"": ""KNIT P/OVER"", ""ko:"": ""KNIT P/OVER""}"
KV ,item,"{""en"": ""KNIT VEST"", ""ko:"": ""KNIT VEST""}"
LI ,item,"{""en"": ""LEATHER IMITATION"", ""ko:"": ""LEATHER IMITATION""}"
LR ,item,"{""en"": ""LEATHER REAL"", ""ko:"": ""LEATHER REAL""}"
OP ,item,"{""en"": ""WOVEN ONE PIECE"", ""ko:"": ""WOVEN ONE PIECE""}"
PT ,item,"{""en"": ""WOVEN PANTS"", ""ko:"": ""WOVEN PANTS""}"
RJ ,item,"{""en"": ""RAINWEAR JUMPER – LPGA 추가"", ""ko:"": ""RAINWEAR JUMPER – LPGA 추가""}"
RB ,item,"{""en"": ""RAINWEAR BOTTOM – LPGA 추가"", ""ko:"": ""RAINWEAR BOTTOM – LPGA 추가""}"
SH ,item,"{""en"": ""WOVEN SHIRT"", ""ko:"": ""WOVEN SHIRT""}"
SK ,item,"{""en"": ""WOVEN SKIRT"", ""ko:"": ""WOVEN SKIRT""}"
TJ ,item,"{""en"": ""C&S JUMPER"", ""ko:"": ""C&S JUMPER""}"
TK ,item,"{""en"": ""C&S SKIRT"", ""ko:"": ""C&S SKIRT""}"
TO ,item,"{""en"": ""C&S O-PIECE"", ""ko:"": ""C&S O-PIECE""}"
