id,personSessionId,zoneCode,zoneName,firstLook,lastLook,firstDwell,lastDwell,viewTimeSeconds,dwellTimeSeconds,recordedAt
7229,40b96ab4-a0fc-4561-bb99-bd14b771e5d1,PW-04,"West Wall Bay 4",2026-07-31T03:21:32.040Z,2026-07-31T03:22:04.440Z,2026-07-31T03:21:32.040Z,2026-07-31T03:22:04.440Z,32.4,32.4,2026-07-31T03:21:32.040Z
7232,019f5842-8dc1-4ea3-acdf-41eb9fac42dc,PE-05,"East Wall Bay 5",2026-07-31T03:21:29.981Z,2026-07-31T03:22:09.581Z,2026-07-31T03:21:29.981Z,2026-07-31T03:22:09.581Z,39.6,39.6,2026-07-31T03:21:29.981Z
7241,e0687f2f-2f1f-49e3-ae67-3576de0ea768,GF-R1-U5,"Gondola R1 Front U5",2026-07-31T03:21:24.784Z,2026-07-31T03:22:40.184Z,2026-07-31T03:21:24.784Z,2026-07-31T03:22:40.184Z,75.4,75.4,2026-07-31T03:21:24.784Z
7242,878d1f12-eb68-4fe4-9b5b-994d75a180c4,GA-01,"Treadmill 1",2026-07-31T03:21:23.884Z,2026-07-31T03:22:40.284Z,2026-07-31T03:21:23.884Z,2026-07-31T03:22:40.284Z,76.4,76.4,2026-07-31T03:21:23.884Z
7226,3902343a-33dc-44f5-8072-3516f7a506fe,GF-R4-U5,"Gondola R4 Front U5",2026-07-31T03:21:18.659Z,2026-07-31T03:21:52.659Z,2026-07-31T03:21:18.659Z,2026-07-31T03:21:52.659Z,34.0,34.0,2026-07-31T03:21:18.659Z
7238,2a25937d-c90b-4ead-8c20-ba56661a9341,GF-R2-U3,"Gondola R2 Front U3",2026-07-31T03:21:17.138Z,2026-07-31T03:22:32.738Z,2026-07-31T03:21:17.138Z,2026-07-31T03:22:32.738Z,75.6,75.6,2026-07-31T03:21:17.138Z
7236,eff441b7-e479-4c21-a790-3fae524af5df,FB-01,"Footwear Bench Seat",2026-07-31T03:21:15.014Z,2026-07-31T03:22:32.814Z,2026-07-31T03:21:15.014Z,2026-07-31T03:22:32.814Z,77.8,77.8,2026-07-31T03:21:15.014Z
7240,7ca23509-6204-416c-9ba8-621a0a000caf,GB-R1-U3,"Gondola R1 Back U3",2026-07-31T03:21:12.887Z,2026-07-31T03:22:33.887Z,2026-07-31T03:21:12.887Z,2026-07-31T03:22:33.887Z,81.0,81.0,2026-07-31T03:21:12.887Z
7239,b6786d7f-9d17-4719-ad39-a6ca064a63ac,GF-R1-U3,"Gondola R1 Front U3",2026-07-31T03:21:12.639Z,2026-07-31T03:22:33.839Z,2026-07-31T03:21:12.639Z,2026-07-31T03:22:33.839Z,81.2,81.2,2026-07-31T03:21:12.639Z
7228,1e04764a-ce08-4a38-a254-7581317b8ad5,GB-R2-U4,"Gondola R2 Back U4",2026-07-31T03:21:10.993Z,2026-07-31T03:21:54.793Z,2026-07-31T03:21:10.993Z,2026-07-31T03:21:54.793Z,43.8,43.8,2026-07-31T03:21:10.993Z
7231,d153620b-2299-4c6b-be6a-a2755f2f2229,GB-R6-U6,"Gondola R6 Back U6",2026-07-31T03:21:10.661Z,2026-07-31T03:22:08.461Z,2026-07-31T03:21:10.661Z,2026-07-31T03:22:08.461Z,57.8,57.8,2026-07-31T03:21:10.661Z
7223,08cf66bf-5937-4d6d-9287-015b3ac9c64e,GF-R4-U7,"Gondola R4 Front U7",2026-07-31T03:21:09.081Z,2026-07-31T03:21:42.681Z,2026-07-31T03:21:09.081Z,2026-07-31T03:21:42.681Z,33.6,33.6,2026-07-31T03:21:09.081Z
7230,de3acfcf-1c97-48dd-9884-bf0f4114d1d0,PE-01,"East Wall Bay 1",2026-07-31T03:21:07.497Z,2026-07-31T03:22:05.497Z,2026-07-31T03:21:07.497Z,2026-07-31T03:22:05.497Z,58.0,58.0,2026-07-31T03:21:07.497Z
7235,6b6c9d80-511e-4a9d-8627-ff7919980105,GB-R1-U7,"Gondola R1 Back U7",2026-07-31T03:21:06.240Z,2026-07-31T03:22:28.040Z,2026-07-31T03:21:06.240Z,2026-07-31T03:22:28.040Z,81.8,81.8,2026-07-31T03:21:06.240Z
7225,95ebee1b-ac18-4f4f-b0f6-07c442f523de,GF-R6-U3,"Gondola R6 Front U3",2026-07-31T03:21:00.709Z,2026-07-31T03:21:52.109Z,2026-07-31T03:21:00.709Z,2026-07-31T03:21:52.109Z,51.4,51.4,2026-07-31T03:21:00.709Z
7227,0db890db-93c9-442d-b9f1-8f4703f73777,GF-R1-U3,"Gondola R1 Front U3",2026-07-31T03:20:52.554Z,2026-07-31T03:21:53.554Z,2026-07-31T03:20:52.554Z,2026-07-31T03:21:53.554Z,61.0,61.0,2026-07-31T03:20:52.554Z
7206,b6786d7f-9d17-4719-ad39-a6ca064a63ac,GF-R4-U1,"Gondola R4 Front U1",2026-07-31T03:20:46.838Z,2026-07-31T03:21:11.638Z,2026-07-31T03:20:46.838Z,2026-07-31T03:21:11.638Z,24.8,24.8,2026-07-31T03:20:46.838Z
