attribute_name,raw_value,display_value,locale,visual
color,Carbon Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Caribbean Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Caribbean Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Caribbean Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Cayenne,Orange,en,"{""swatch"":""#e8730f""}"
color,Cayenne,Orange,fr-FR,"{""swatch"":""#e8730f""}"
color,Cayenne,오렌지,ko-KR,"{""swatch"":""#e8730f""}"
color,Cedar,Brown,en,"{""swatch"":""#6b4423""}"
color,Cedar,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Cedar,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Charcoal,Gray,en,"{""swatch"":""#808080""}"
color,Charcoal,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Charcoal,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Chocolate Truffle,Brown,en,"{""swatch"":""#6b4423""}"
color,Chocolate Truffle,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Chocolate Truffle,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Cinnamon,Brown,en,"{""swatch"":""#6b4423""}"
color,Cinnamon,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Cinnamon,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Crimson Purple,Purple,en,"{""swatch"":""#7d3ca8""}"
color,Crimson Purple,Violet,fr-FR,"{""swatch"":""#7d3ca8""}"
color,Crimson Purple,퍼플,ko-KR,"{""swatch"":""#7d3ca8""}"
color,Cypress Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Cypress Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Cypress Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Dark Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Dark Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Dark Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Dark Cinnamon,Brown,en,"{""swatch"":""#6b4423""}"
color,Dark Cinnamon,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Dark Cinnamon,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Dark Gray,Gray,en,"{""swatch"":""#808080""}"
color,Dark Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Dark Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Dark Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Dark Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Dark Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Dark Green Gray,Gray,en,"{""swatch"":""#808080""}"
color,Dark Green Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Dark Green Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Dark Grey,Gray,en,"{""swatch"":""#808080""}"
color,Dark Grey,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Dark Grey,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Dark Olive Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Dark Olive Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Dark Olive Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Dark Orange,Orange,en,"{""swatch"":""#e8730f""}"
color,Dark Orange,Orange,fr-FR,"{""swatch"":""#e8730f""}"
color,Dark Orange,오렌지,ko-KR,"{""swatch"":""#e8730f""}"
color,Dark Petrol Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Dark Petrol Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Dark Petrol Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Dark Sepia,Brown,en,"{""swatch"":""#6b4423""}"
color,Dark Sepia,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Dark Sepia,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Deep Chocolate Truffle,Brown,en,"{""swatch"":""#6b4423""}"
color,Deep Chocolate Truffle,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Deep Chocolate Truffle,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Deep Sea Turquoise,Turquoise,en,"{""swatch"":""#10b3b3""}"
color,Deep Sea Turquoise,Turquoise,fr-FR,"{""swatch"":""#10b3b3""}"
color,Deep Sea Turquoise,청록,ko-KR,"{""swatch"":""#10b3b3""}"
color,Deep Shale,Gray,en,"{""swatch"":""#808080""}"
color,Deep Shale,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Deep Shale,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Deep Teal,Turquoise,en,"{""swatch"":""#10b3b3""}"
color,Deep Teal,Turquoise,fr-FR,"{""swatch"":""#10b3b3""}"
color,Deep Teal,청록,ko-KR,"{""swatch"":""#10b3b3""}"
color,Default Color,Unspecified,en,"{""swatch"":""#cccccc""}"
color,Default Color,Indéfini,fr-FR,"{""swatch"":""#cccccc""}"
color,Default Color,미지정,ko-KR,"{""swatch"":""#cccccc""}"
color,Eclipse Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Eclipse Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Eclipse Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Electric Purple,Purple,en,"{""swatch"":""#7d3ca8""}"
color,Electric Purple,Violet,fr-FR,"{""swatch"":""#7d3ca8""}"
color,Electric Purple,퍼플,ko-KR,"{""swatch"":""#7d3ca8""}"
color,Fluo Neon Pink,Pink,en,"{""swatch"":""#e84d8a""}"
color,Fluo Neon Pink,Rose,fr-FR,"{""swatch"":""#e84d8a""}"
color,Fluo Neon Pink,핑크,ko-KR,"{""swatch"":""#e84d8a""}"
color,Frosty Turquoise,Turquoise,en,"{""swatch"":""#10b3b3""}"
color,Frosty Turquoise,Turquoise,fr-FR,"{""swatch"":""#10b3b3""}"
color,Frosty Turquoise,청록,ko-KR,"{""swatch"":""#10b3b3""}"
color,Frozen cedar,Brown,en,"{""swatch"":""#6b4423""}"
color,Frozen cedar,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Frozen cedar,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Fuchsia Pink,Pink,en,"{""swatch"":""#e84d8a""}"
color,Fuchsia Pink,Rose,fr-FR,"{""swatch"":""#e84d8a""}"
color,Fuchsia Pink,핑크,ko-KR,"{""swatch"":""#e84d8a""}"
color,Fuschia,Pink,en,"{""swatch"":""#e84d8a""}"
color,Fuschia,Rose,fr-FR,"{""swatch"":""#e84d8a""}"
color,Fuschia,핑크,ko-KR,"{""swatch"":""#e84d8a""}"
