attribute_name,raw_value,display_value,locale,visual
color,Vermilion,Rouge,fr-FR,"{""swatch"":""#c0392b""}"
color,Vermilion,레드,ko-KR,"{""swatch"":""#c0392b""}"
color,White,White,en,"{""swatch"":""#f5f5f5""}"
color,White,Blanc,fr-FR,"{""swatch"":""#f5f5f5""}"
color,White,화이트,ko-KR,"{""swatch"":""#f5f5f5""}"
color,White Orange,White,en,"{""swatch"":""#f5f5f5""}"
color,White Orange,Blanc,fr-FR,"{""swatch"":""#f5f5f5""}"
color,White Orange,화이트,ko-KR,"{""swatch"":""#f5f5f5""}"
color,White Pink,White,en,"{""swatch"":""#f5f5f5""}"
color,White Pink,Blanc,fr-FR,"{""swatch"":""#f5f5f5""}"
color,White Pink,화이트,ko-KR,"{""swatch"":""#f5f5f5""}"
color,Yellow,Yellow,en,"{""swatch"":""#f2c200""}"
color,Yellow,Jaune,fr-FR,"{""swatch"":""#f2c200""}"
color,Yellow,옐로우,ko-KR,"{""swatch"":""#f2c200""}"
color,Yellow Ochre,Yellow,en,"{""swatch"":""#f2c200""}"
color,Yellow Ochre,Jaune,fr-FR,"{""swatch"":""#f2c200""}"
color,Yellow Ochre,옐로우,ko-KR,"{""swatch"":""#f2c200""}"
color,Yellow green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Yellow green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Yellow green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Zinc Gray,Gray,en,"{""swatch"":""#808080""}"
color,Zinc Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Zinc Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
